issueId,result
344944506,Conflict
338950762,
330295059,Conflict
323235613,+
323160333,Conflict
319441008,
318379067,+
318202397,+
316031730,
314430644,Conflict
313948308,Conflict
313575620,
313066684,
311814194,
306050758,
303653126,Conflict
302963128,+
299921419,
298036838,Conflict
294503770,
287712064,
287563753,Conflict
287529251,Conflict
281901361,
281484633,+
276391661,
274307080,
273278207,Conflict
270845724,+
266899946,Conflict
261423140,
259251835,
259040189,
255404483,
250996767,+
247861677,
237636694,+
237079324,+
232248996,Conflict
232044881,
228724179,Conflict
224152177,Conflict
214798675,
213299296,
211969654,
209899404,+
209153155,Conflict
208987200,
208210489,Conflict
206288762,
203688645,
202266560,+
200846704,Conflict
199033099,
197489316,
194214207,+
194195296,Conflict
193930898,
191067539,
190527688,Conflict
185423029,+
184111030,
183826765,
182321888,+
181882850,Conflict
180881421,
178602578,Conflict
174639174,+
172835754,
171979719,
171039524,
170657798,
169763553,+
169186088,Conflict
165566280,Conflict
163631158,Conflict
163160088,
162500573,
157978619,Conflict
157646209,Conflict
157533507,Conflict
157523625,
156201029,+
156101357,Conflict
154839056,Conflict
154125956,
153294472,
137771212,
133389678,
133309604,+
130646247,Conflict
130266733,
128332810,
127706644,+
125433761,Conflict
124767565,+
122076520,
120629844,Conflict
120056885,+
111136803,+
98821482,+
97981289,+
90486873,Conflict
42730024,
33824863,+
27180722,
11439039,
2083158,
348407956,Conflict
347581993,
340764357,
335892929,+
322476383,
318896079,
317849044,+
317044067,
316027270,
314432949,
314289000,-
312081058,+
311898297,
311489129,+
310611823,-
308182935,
306276482,+
304205953,Conflict
302212834,
302199433,
294788194,+
293549652,
285330154,
274787144,
265553615,
263032801,
256539796,+
255760252,Conflict
252193631,+
228417611,Conflict
224705822,
222205423,+
217681618,Conflict
217016570,+
215176664,+
214291315,Conflict
209762523,
209351234,
207911055,+
206196463,+
205379617,+
204466637,Conflict
203691958,
203590066,+
203423156,
202137145,+
199970186,+
199314152,+
196196806,
190489285,+
182101095,+
179456431,
170032315,
160192028,+
157549842,Conflict
154522416,
151934103,Conflict
148935576,
146033967,+
144739133,
144344127,
129929648,
122683803,Conflict
118120400,
117453390,
116548380,+
113166540,
111025844,+
86746606,
83690467,+
76444196,+
60545337,+
54442087,+
53210663,
50460731,
36137758,
30082557,+
29193895,Conflict
28351230,Conflict
17365514,-
342667499,Conflict
317151809,Conflict
258259506,
232736833,
225851753,
182737554,
178820424,+
178156807,Conflict
172097672,
139374463,+
65491545,Conflict
48808362,+
40412796,+
349687554,+
349644129,Conflict
349586900,Conflict
349564124,Conflict
349438568,Conflict
349364608,+
348952175,
348838543,+
348547174,Conflict
347639351,
347536569,
347526227,Conflict
347093498,
345924137,
345891960,Conflict
345399817,Conflict
345359251,
345354239,
345324513,
344999054,
344420602,+
344191320,+
343728618,
343478159,
343424249,
343377638,
343292606,+
343248480,Conflict
342940094,
342703557,
342495774,
342406741,
342140374,Conflict
342133475,
342123502,Conflict
342107821,+
342091649,
341720613,Conflict
341693580,
341691064,
341582148,Conflict
341418092,
341335772,
340883541,+
340749995,
340347935,
339622919,Conflict
339581770,
339580245,Conflict
339157756,
338763411,
338741754,Conflict
338447972,
338037947,
337977777,
337681891,
337636430,
337593763,
337045177,+
337036470,Conflict
336812118,
336781727,-
336409775,
336390569,
336010497,+
336007737,+
335920080,+
335572264,
335545893,+
335502529,
335142352,
334221240,
334216332,+
333782530,Conflict
333659522,
332992209,
332950521,Conflict
332949861,Conflict
332883565,Conflict
332869756,Conflict
332840677,Conflict
332672674,Conflict
332595797,
332380470,Conflict
332056879,Conflict
331827240,
331499519,
331428150,
331285751,
330980551,
330909704,Conflict
330808387,Conflict
330752208,+
330750432,
330472819,
330462584,+
330452564,Conflict
330375908,
330024475,
330007746,+
329866951,
329691298,Conflict
329608221,
329575356,
329261281,Conflict
329195786,
328938911,
328899891,
328802138,
328801868,Conflict
328786562,
328772868,
328765940,Conflict
328725348,Conflict
328490868,Conflict
328376607,
328238964,
327967377,
327924679,+
327537206,+
327418391,Conflict
327384309,
327116162,
326703941,
326616827,
326327349,Conflict
325994693,+
325815324,
324906625,+
324647696,+
324610238,Conflict
324513411,+
324364462,+
324123582,
323724039,
323671313,
323427453,
323321491,Conflict
322433441,
322063093,Conflict
321986063,
321981459,
321751172,Conflict
321742829,
321617147,
321399848,
321277028,
321216699,
320869282,
320659018,Conflict
320468585,Conflict
320052970,Conflict
319210126,
318611362,
318500623,
318456132,+
318275101,
318229399,
317842605,
317809910,+
317404197,Conflict
317218110,
316859890,
316310305,Conflict
316087152,
316063952,
315967798,Conflict
314599489,+
314303846,Conflict
313938508,
313568741,+
313411408,
313285546,
313045162,Conflict
312742084,
312725903,
312722429,
312604116,
312391613,
312238578,
311838552,
311671697,-
311464888,
311421078,
311108995,
311031753,
310807582,
310161563,
309908760,
309897770,+
309896872,+
309502045,
309222716,Conflict
309133296,
309115277,Conflict
309021886,Conflict
308780705,Conflict
308641409,Conflict
308558215,Conflict
308328331,+
308232689,
308180477,+
308135502,Conflict
308113200,
307679657,+
307457473,Conflict
307317090,
307296322,Conflict
307024756,+
306691859,
306334675,+
306186550,Conflict
306175250,
306126676,Conflict
306121752,+
306021778,
305997761,+
305857039,
305787062,+
305403849,
304944579,Conflict
304080890,
304030760,
304027942,
304007322,
303863107,+
303631896,+
303308984,
303299682,
303244877,+
303231361,+
302986635,
302818886,
302787820,Conflict
302787332,+
302732811,+
302587407,
302157984,
301940867,
301355241,+
301315785,
301181414,+
301170709,
301113200,
300885959,
300859860,
300607057,Conflict
300588162,Conflict
300534951,Conflict
300379360,
300360185,+
300344868,
300248534,Conflict
299980303,
299885907,
299860011,Conflict
299573001,+
299542880,
299297024,
298383351,
298048743,
297947154,Conflict
297442755,Conflict
297225775,Conflict
297017133,Conflict
297004249,Conflict
296939786,+
296822482,
296778921,Conflict
296564025,
296263155,Conflict
296089618,
296061456,
295488374,+
295354671,Conflict
295333663,
295208911,Conflict
294878361,
294591735,
294525525,+
294522238,
294208017,
293892306,
293639098,Conflict
293364616,+
293361868,
293300015,
293119334,+
292802621,+
292657052,+
292635884,
292621177,
292606859,Conflict
292490421,Conflict
292250045,
292184622,Conflict
291768217,Conflict
291400903,Conflict
291322693,
291315199,Conflict
290970995,Conflict
290247040,Conflict
290160059,
290147140,
289816707,
289460840,Conflict
289254021,
289119631,+
288442733,+
288159169,+
287989970,+
287937081,
287929552,+
287651277,+
287495159,Conflict
286903624,
286655269,+
286645666,
286638548,+
286447812,Conflict
286369826,
286104760,
286082295,
285868741,
285600846,
285503134,+
285353255,Conflict
285244088,
285157041,
285061050,
284070182,
283406792,
283055554,
282596782,+
282566351,Conflict
282334681,+
282198980,Conflict
281885979,Conflict
281852629,
281645333,
281600335,Conflict
281529482,Conflict
281269711,
281195863,
281172795,
281147781,+
281125492,
281106856,
280867544,
280685536,
280654695,
280456245,Conflict
280281616,
280258671,Conflict
280251957,
280025238,Conflict
279961392,
279915190,
279489978,+
279488373,
279353506,+
278636689,Conflict
278635737,+
278541963,
278439930,Conflict
277813472,
277596640,
277485212,
277218424,
277124184,Conflict
276703296,Conflict
276471519,Conflict
276204910,
276137561,
275584939,+
275553545,
275525058,
275197857,
274948100,
274721426,Conflict
273694830,
273300344,Conflict
273260541,Conflict
273126208,
272732561,
272419619,
272407844,Conflict
272263661,+
272084381,
272060028,+
271723778,
271648543,+
271562389,Conflict
271503991,
271460665,
271164927,Conflict
271127892,
271079554,Conflict
271030913,+
270700069,
270509895,
270377800,+
269340711,Conflict
269338391,
269225626,
269166146,Conflict
268533125,
268215333,
267782264,Conflict
267606014,
267487438,
267389492,Conflict
267341289,
267279065,Conflict
267228135,+
267059398,
267021219,
266951380,
266917175,
266692966,
266483904,Conflict
266375664,Conflict
266337704,Conflict
266325343,
265969612,
265890659,
265883978,+
265451477,+
265446452,
265347596,Conflict
265335784,
265240042,Conflict
265148685,Conflict
265138010,+
265134157,Conflict
265133719,+
265133369,+
265074372,+
265059533,
265057325,+
265036490,Conflict
264767033,
264693399,+
264472478,
264167834,
263994245,+
263836822,Conflict
263657250,
263510822,+
263338789,Conflict
263302479,
262974712,+
262826106,
262687536,
262541039,
262533497,Conflict
262434930,Conflict
262230416,+
262150134,+
262101953,Conflict
261799172,Conflict
261737251,+
261684403,+
261456768,
261247310,Conflict
261064201,Conflict
261055397,
261031158,
260833290,
260810798,
260434213,
260425544,Conflict
260327628,
260069413,Conflict
259867177,+
259700399,+
259655170,
259652482,
259622738,Conflict
259335151,
259322123,
259269181,
258927925,Conflict
258347523,Conflict
258164447,
257950518,Conflict
257825705,+
257557184,
257502640,Conflict
257164180,
257163974,
257161867,
256753319,+
256083905,
256019321,
255769597,
255769031,Conflict
255765504,
255753714,Conflict
255710804,+
255692139,+
255372362,
255348745,
254753502,Conflict
254704126,
254208709,Conflict
254124038,
254048288,Conflict
254021718,
253828513,
253816189,
253125408,+
253035165,Conflict
253012833,
252813199,Conflict
252761531,Conflict
252753739,
252429697,
252399499,
252332613,
252257910,
252080809,+
251863229,
251447105,Conflict
251446320,
251282441,
250719567,Conflict
250490586,
250452038,Conflict
250132853,+
250099033,
249823093,Conflict
249718171,Conflict
249651008,Conflict
249425349,
249375590,
249208502,Conflict
249197990,+
249113422,+
248870825,Conflict
248132919,
247887195,Conflict
247880254,
247867193,
247820314,
247574325,+
247557439,
246934252,+
246877669,Conflict
246874713,
246492203,Conflict
246479280,Conflict
246221215,Conflict
245942441,Conflict
245902074,
245259744,
245170804,Conflict
245155725,Conflict
245104765,
244849263,
244441126,
244203328,Conflict
243944942,
243775724,
243675760,
243523597,
243495243,+
243339692,+
243116497,+
243054389,
242755508,Conflict
242695169,+
241837049,Conflict
241834196,Conflict
241780901,
241342025,Conflict
241318785,
241302164,
240719787,Conflict
240701249,Conflict
240447352,Conflict
240285912,Conflict
240267480,+
239916127,
239656327,
239563995,
239492808,+
239302013,
239034495,Conflict
238892147,
238697569,Conflict
238641465,Conflict
238389152,+
238283658,+
238017186,Conflict
236742967,+
236688993,
236632728,
236574644,+
236363104,
236301634,Conflict
236263242,+
236254881,Conflict
236233121,
235744571,
235731294,+
235648962,Conflict
235049414,
234932335,Conflict
234847421,
234795550,+
234758134,+
234660062,
234339991,
234286167,
234248509,
234052469,
234039731,
233687892,
233399914,+
233002639,+
232582862,+
231850783,Conflict
231782206,
231477641,Conflict
231466200,
231379493,Conflict
231203204,Conflict
230928089,+
230589796,
228760879,Conflict
228749791,
228493483,+
228460136,Conflict
228353320,+
228310440,
227855565,
227793873,Conflict
227705309,
227453324,Conflict
227199267,Conflict
227197339,+
227158750,Conflict
226926238,
226911924,Conflict
226834533,
226650783,
226422076,
226352843,
226336349,
226144639,
226052521,Conflict
225845724,Conflict
225808014,Conflict
225755870,
225683863,
225222597,Conflict
225163769,
225163026,
225140715,
224947436,+
224909178,
224632505,+
224588318,Conflict
224298561,
224266103,
223913941,Conflict
223866440,
223835603,Conflict
223020687,
222940631,
222905370,
222639961,
222496869,
221954498,
221898180,
221700686,
221688864,
221634069,
221606915,
221473477,Conflict
221290012,+
221121741,+
220831894,Conflict
220805153,
220788666,
220760412,
220211959,+
220016285,+
219750937,
219744317,
219626745,Conflict
219605388,Conflict
219341419,
219323694,Conflict
219280959,Conflict
219173941,
219095634,+
219079219,
219043102,+
219007850,
218741956,Conflict
218713697,Conflict
218694760,
218625603,Conflict
218622807,
218443615,Conflict
218395966,
218363698,
218152965,
217970463,
217951566,
217938531,+
217776929,Conflict
217754498,+
217701442,
217657992,
217445240,Conflict
217379762,
217369611,
217253602,Conflict
217248183,
217155614,Conflict
217010988,+
216952802,
216930684,
216479688,
216479125,Conflict
216474048,Conflict
216337663,
216227119,Conflict
216004637,+
215828048,+
215590995,Conflict
215423202,Conflict
215233177,Conflict
215189019,
215149163,Conflict
214870685,
214816055,
214595210,Conflict
214569662,Conflict
214523150,+
214451725,
214251811,-
214149012,
214113046,
213962702,
213865496,
213656945,
213625157,+
213559629,
213516449,
213493618,
213444082,+
213443723,
213263575,Conflict
212928485,Conflict
212921225,Conflict
212685810,
212631299,
212612817,Conflict
212294771,
212219316,+
211906919,Conflict
211906079,+
211894033,
211587373,
211554679,Conflict
211492594,+
211481552,
211445272,
211436640,
211358366,+
210841251,Conflict
210359158,
210338930,Conflict
210316061,Conflict
210215580,
210202602,+
210171644,
210156806,+
210126772,+
209926106,
209922075,
209874129,+
209855437,Conflict
209820009,
209762815,
209618344,Conflict
208953297,Conflict
208293582,
207761315,+
207711388,Conflict
207672418,
207339183,Conflict
207311337,
207070466,
207069950,Conflict
207031781,
206991990,Conflict
206948316,
206743443,
206672599,+
206662483,+
206658197,+
206613521,
206604314,Conflict
206582962,
206317166,
205966875,
205802898,Conflict
205617210,
205459127,+
205442720,
205359429,+
205299514,+
205251593,
205249983,
205074802,Conflict
204981873,Conflict
204796815,
204783904,
204748508,
204459989,
204443191,
204197108,
203844796,
203823939,
203767728,
203766135,Conflict
203682330,
203646923,+
203547843,+
203544175,Conflict
203478229,+
203453045,Conflict
203420770,
203415108,
203268380,+
203026672,+
202934995,+
202727367,
202691072,
202562563,+
202478956,Conflict
202446478,
202302123,
202282268,
202029097,
201641212,
201433101,+
201313465,
200565815,Conflict
200527955,+
200456820,
200440706,Conflict
200439234,+
200237904,
199930028,
199896688,Conflict
199889273,+
199722322,
199716551,+
199649144,+
199589988,Conflict
199427602,
199293791,
199027918,
199022239,
199020005,Conflict
198812636,Conflict
198330371,
198206363,Conflict
198167523,
197450635,
196779789,Conflict
196435259,+
196289917,Conflict
196048407,Conflict
